timestamp,latitude,longitude,altitude_m,horizontal_accuracy_m,satellites
2026-06-09T10:10:00,41.3294618,19.8171326,108.9,12.7,9
2026-06-09T10:10:01,41.32940036,19.81742412,110.4,11.68,11
2026-06-09T10:10:02,41.32941007,19.81737322,110.36,16.83,11
2026-06-09T10:10:03,41.32947414,19.81724517,105.87,10.64,13
2026-06-09T10:10:04,41.32943813,19.81731214,105.86,13.5,11
2026-06-09T10:10:05,41.32951158,19.81747258,113.81,16.9,12
2026-06-09T10:10:06,41.32926041,19.81700322,105.71,12.71,10
2026-06-09T10:10:07,41.32948613,19.81732402,113.53,14.37,11
2026-06-09T10:10:08,41.32946719,19.81744605,108.31,12.72,9
2026-06-09T10:10:09,41.32944521,19.81729336,113.78,9.93,11
2026-06-09T10:10:10,41.32951071,19.81730722,108.53,18.99,13
2026-06-09T10:10:11,41.32948734,19.81734953,105.92,19.85,10
2026-06-09T10:10:12,41.32940517,19.81746376,113,12.67,11
2026-06-09T10:10:13,41.3294875,19.81731123,109.94,12.88,10
2026-06-09T10:10:14,41.32952481,19.8173256,115.07,13.25,7
2026-06-09T10:10:15,41.32945139,19.81732667,113.12,16.26,13
2026-06-09T10:10:16,41.32944645,19.81751656,109.2,10.2,12
2026-06-09T10:10:17,41.32942651,19.81751557,108.43,13.63,10
2026-06-09T10:10:18,41.32945972,19.81743106,110.08,15.1,8
2026-06-09T10:10:19,41.32949504,19.81738709,110.67,16.7,10
2026-06-09T10:10:20,41.32942143,19.81741268,106.91,6,10
2026-06-09T10:10:21,41.32939593,19.81746713,112.95,15.69,9
2026-06-09T10:10:22,41.32944445,19.81729334,108.61,15.45,12
2026-06-09T10:10:23,41.32939535,19.81744529,108.52,18.23,9
2026-06-09T10:10:24,41.3294898,19.81727127,108.11,11.79,9
2026-06-09T10:10:25,41.32944324,19.81731588,110.81,11.82,9
2026-06-09T10:10:26,41.3293779,19.81742714,107.58,19.05,11
2026-06-09T10:10:27,41.32944764,19.81725987,110.47,7.43,10
2026-06-09T10:10:28,41.32945551,19.81735274,119.68,20.84,11
2026-06-09T10:10:29,41.32948732,19.81730132,109.81,24.73,9
2026-06-09T10:10:30,41.32945797,19.8173452,108.48,16.01,10
2026-06-09T10:10:31,41.32955744,19.81716306,104.16,17.42,12
2026-06-09T10:10:32,41.32943937,19.81723716,110.18,7.74,10
2026-06-09T10:10:33,41.32946174,19.81731446,106.12,11.08,13
2026-06-09T10:10:34,41.32945949,19.81743164,108.69,18.44,13
2026-06-09T10:10:35,41.32945029,19.81735299,110.53,15.52,7
2026-06-09T10:10:36,41.32947091,19.81736604,103.94,13.24,10
2026-06-09T10:10:37,41.32949016,19.81741561,110.55,14.98,11
2026-06-09T10:10:38,41.32952912,19.81730346,111.07,16.13,7
2026-06-09T10:10:39,41.32925523,19.81729571,105.46,12.77,10
2026-06-09T10:10:40,41.32943648,19.81730955,108.63,13.88,7
2026-06-09T10:10:41,41.32943887,19.81724373,103.59,13.85,11
