timestamp,latitude,longitude,altitude_m,horizontal_accuracy_m,satellites
2026-06-09T10:00:00,41.32748436,19.8188923,115.44,6.42,16
2026-06-09T10:00:01,41.32748973,19.81887416,112.35,5.48,15
2026-06-09T10:00:02,41.3275147,19.81889681,115.44,5.26,16
2026-06-09T10:00:03,41.32751242,19.81892203,108.12,5.39,15
2026-06-09T10:00:04,41.32750081,19.81887167,115.43,8.77,18
2026-06-09T10:00:05,41.32750371,19.81887176,115.34,7.36,16
2026-06-09T10:00:06,41.3275259,19.8189239,114.62,5.48,18
2026-06-09T10:00:07,41.32749092,19.81890069,109.38,3.5,14
2026-06-09T10:00:08,41.32751269,19.81886526,114.83,3.88,19
2026-06-09T10:00:09,41.32749884,19.81889441,112.91,6.96,16
2026-06-09T10:00:10,41.32749883,19.81886561,108.45,3.5,13
2026-06-09T10:00:11,41.32752393,19.81886563,115.34,6.64,13
2026-06-09T10:00:12,41.32749504,19.81893137,115.6,4.6,17
2026-06-09T10:00:13,41.32751908,19.81882425,109.57,6.34,17
2026-06-09T10:00:14,41.32752862,19.81882975,113.32,6.3,17
2026-06-09T10:00:15,41.32749771,19.81883805,115.5,6.38,14
2026-06-09T10:00:16,41.32751734,19.81885037,115.21,5.61,13
2026-06-09T10:00:17,41.32749886,19.81888856,114.5,5.56,16
2026-06-09T10:00:18,41.32751105,19.81885355,108.23,5.12,15
2026-06-09T10:00:19,41.32750269,19.81883916,114.31,6.93,16
2026-06-09T10:00:20,41.32750718,19.81892188,112.61,7.41,19
2026-06-09T10:00:21,41.32751678,19.8188734,114.79,4.37,19
2026-06-09T10:00:22,41.3274903,19.81888191,113.46,6.12,19
2026-06-09T10:00:23,41.32754539,19.81883916,112.96,6.49,17
2026-06-09T10:00:24,41.3274871,19.81886452,114.15,6.48,15
2026-06-09T10:00:25,41.32748333,19.81888342,112.69,6.45,15
2026-06-09T10:00:26,41.32752823,19.81884728,112.96,5.6,16
2026-06-09T10:00:27,41.32752145,19.8188912,112.0,6.62,18
2026-06-09T10:00:28,41.32751841,19.81886326,110.11,7.13,13
2026-06-09T10:00:29,41.3275186,19.81887222,114.02,6.41,16
2026-06-09T10:00:30,41.32750661,19.8188634,111.55,6.96,14
2026-06-09T10:00:31,41.32749,19.81893394,112.64,7.69,16
2026-06-09T10:00:32,41.32750843,19.81888047,113.52,3.5,18
2026-06-09T10:00:33,41.32749429,19.81885058,109.25,7.62,17
2026-06-09T10:00:34,41.32752551,19.81890465,109.65,6.71,15
2026-06-09T10:00:35,41.32750438,19.81884607,112.46,4.53,19
2026-06-09T10:00:36,41.3274916,19.8188872,113.82,7.4,17
2026-06-09T10:00:37,41.32750112,19.81882503,114.34,5.6,13
2026-06-09T10:00:38,41.32751497,19.81884325,110.14,5.81,15
2026-06-09T10:00:39,41.32749654,19.81888712,114.15,5.44,15
2026-06-09T10:00:40,41.32749163,19.81890276,112.56,6.65,13
2026-06-09T10:00:41,41.3275117,19.81888657,111.41,5.02,19
2026-06-09T10:00:42,41.32751167,19.81887841,111.83,7.55,16
2026-06-09T10:00:43,41.32749742,19.81887318,114.44,5.99,18
2026-06-09T10:00:44,41.32749802,19.81883946,113.49,5.65,15
2026-06-09T10:00:45,41.3275112,19.81886133,113.09,7.33,14
2026-06-09T10:00:46,41.3274794,19.81886886,113.44,5.72,16
2026-06-09T10:00:47,41.32745368,19.8189802,114.67,7.62,14
2026-06-09T10:00:48,41.32749293,19.81889213,112.83,7.67,16
2026-06-09T10:00:49,41.32750232,19.81883173,113.1,4.2,18
2026-06-09T10:00:50,41.32751206,19.81889174,115.05,7.86,16
2026-06-09T10:00:51,41.32753387,19.81887147,112.4,4.01,16
2026-06-09T10:00:52,41.32752205,19.81886318,114.11,7.96,14
2026-06-09T10:00:53,41.32750267,19.81890026,112.09,9.24,13
2026-06-09T10:00:54,41.32750514,19.81891239,112.25,7.51,14
2026-06-09T10:00:55,41.32748639,19.81890962,112.81,3.5,16
2026-06-09T10:00:56,41.32750475,19.81885887,113.93,7.8,14
2026-06-09T10:00:57,41.32749943,19.81887418,115.15,9.57,15
2026-06-09T10:00:58,41.32751074,19.81889265,113.17,5.75,16
2026-06-09T10:00:59,41.32748881,19.81891124,110.3,6.15,15
2026-06-09T10:01:00,41.32751397,19.81886956,114.14,4.42,14
2026-06-09T10:01:01,41.32753284,19.81887808,117.42,6.67,15
2026-06-09T10:01:02,41.32750162,19.81885173,113.2,8.1,18
2026-06-09T10:01:03,41.32751098,19.81884924,109.92,7.25,17
2026-06-09T10:01:04,41.32751616,19.818907,113.31,10.91,16
2026-06-09T10:01:05,41.32749529,19.8189227,112.99,6.25,13
2026-06-09T10:01:06,41.32750681,19.81888178,112.84,3.75,19
2026-06-09T10:01:07,41.32750254,19.81891275,114.7,6.46,17
2026-06-09T10:01:08,41.32750385,19.81889441,115.48,3.5,15
2026-06-09T10:01:09,41.32748714,19.81886559,114.23,5.4,18
2026-06-09T10:01:10,41.32750189,19.81889457,112.76,8.64,15
2026-06-09T10:01:11,41.32751052,19.81892844,115.03,6.69,16
2026-06-09T10:01:12,41.3275282,19.81888335,110.31,6.47,16
2026-06-09T10:01:13,41.32751862,19.81892938,111.71,8.93,15
2026-06-09T10:01:14,41.32754085,19.81880934,111.91,5.79,19
